Scientific_Name_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Category,Fora.WaterBelow,Fora.WaterSurface,Fora.Ground,Fora.Understory,Fora.MidHigh,Fora.Canopy,Fora.Aerial,Beha.Pelagic,Beha.Nocturnal,Morph.BodyMass,Phen.MigrantStatus,Morph.BeakLength,Morph.BeakWidth,Morph.BeakDepth,Morph.TarsusLength,Morph.WingLength,Morph.TailLength,Morph.HandWingIndex,Ecol.Habitat,Ecol.TrophicNiche,Ecol.PrimaryLifestyle
Corvus_corone,30,20,20,0,0,20,0,0,10,0,VertFishScav,0,0,90,0,0,0,10,0,0,570,Resident,55,15.1,18.5,59.4,323.9,179.6,36.9,Human Modified,Omnivore,Terrestrial
Passer_domesticus,10,0,0,0,0,0,0,0,60,30,PlantSeed,0,0,50,50,0,0,0,0,0,26.5,Resident,13.5,6.3,7.4,17.9,74.9,57.2,27.3,Human Modified,Granivore,Terrestrial
Phylloscopus_collybita,80,0,0,0,0,0,10,0,10,0,Invertebrate,0,0,25,25,25,25,0,0,0,8.3,Full migrant,11.6,2.3,2.2,19.7,58.8,48.5,18.4,Forest,Invertivore,Insessorial
Picus_viridis,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0,176,Resident,45,11.5,9.8,29,165.4,103,24.7,Forest,Invertivore,Terrestrial
Curruca_hortensis,70,0,0,0,0,0,20,10,0,0,Invertebrate,0,0,0,33,33,33,0,0,0,21.9,Full migrant,17.1,3.6,4.2,24.6,79,68.8,23.2,Woodland,Invertivore,Insessorial
Iduna_pallida,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,10,30,30,30,0,0,0,9,Full migrant,16.6,3.7,2.9,20.8,64.9,53,22.6,Shrubland,Invertivore,Insessorial
Accipiter_nisus,0,100,0,0,0,0,0,0,0,0,VertFishScav,0,0,20,20,20,20,20,0,0,220.8,Partial migrant,19.6,8.4,10,53.6,207.4,155.5,35.5,Forest,Vertivore,Insessorial
Acanthis_flammea,30,0,0,0,0,0,0,0,40,30,PlantSeed,0,0,100,0,0,0,0,0,0,13,Partial migrant,11.4,4.5,6.5,15.6,75.8,58.7,33.1,Forest,Granivore,Generalist
Acrocephalus_dumetorum,90,0,0,0,0,0,0,0,10,0,Invertebrate,0,0,20,20,40,20,0,0,0,11.2,Full migrant,16.4,3.6,3.1,22.3,62.1,53.1,20.4,Wetland,Invertivore,Insessorial
Acrocephalus_melanopogon,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,40,60,0,0,0,0,0,10.9,Full migrant,12.7,2.6,2.5,19,56.7,47.8,19.3,Wetland,Invertivore,Insessorial
Acrocephalus_paludicola,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,50,50,0,0,0,0,0,11.6,Full migrant,12.3,2.6,2.9,19.4,62.1,47.2,28.4,Wetland,Invertivore,Insessorial
Acrocephalus_palustris,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,0,50,50,0,0,0,0,11.5,Full migrant,16.1,3.3,3.3,21.3,68.6,56.5,27.9,Shrubland,Invertivore,Insessorial
Acrocephalus_schoenobaenus,70,0,0,0,0,0,10,0,10,10,Invertebrate,0,0,20,60,20,0,0,0,0,11.8,Full migrant,14.9,2.9,2.8,20.9,65.4,48.9,28.2,Wetland,Invertivore,Insessorial
Acrocephalus_scirpaceus,70,0,0,0,0,0,10,0,10,10,Invertebrate,0,0,20,80,0,0,0,0,0,12.3,Full migrant,18.2,3.2,2.9,21.3,65.3,51.1,24.3,Wetland,Invertivore,Insessorial
Actitis_hypoleucos,50,0,20,20,0,0,0,0,0,10,Omnivore,0,50,50,0,0,0,0,0,0,48,Full migrant,30.1,3.1,4,22.4,109.9,57.4,48,Wetland,Aquatic predator,Terrestrial
Aegithalos_caudatus,60,0,0,0,0,0,10,10,10,10,Invertebrate,0,0,10,40,10,40,0,0,0,8.6,Resident,7.6,2.5,3.3,15.9,63.1,87.8,22,Forest,Invertivore,Insessorial
Aegolius_funereus,30,70,0,0,0,0,0,0,0,0,VertFishScav,0,0,90,10,0,0,0,0,1,137.2,Partial migrant,18.2,7.9,10.5,23.4,169.1,102.5,31.5,Forest,Vertivore,Insessorial
Alauda_arvensis,40,0,0,0,0,0,0,0,40,20,PlantSeed,0,0,100,0,0,0,0,0,0,37.3,Partial migrant,14.6,4.4,4.7,23.6,106.7,67.6,33.6,Grassland,Omnivore,Terrestrial
Alcedo_atthis,30,0,0,70,0,0,0,0,0,0,VertFishScav,100,0,0,0,0,0,0,0,0,31.1,Resident,42.2,5.7,7.4,9.9,73.3,32.3,26.9,Riverine,Aquatic predator,Insessorial
Alectoris_barbara,10,0,0,0,0,0,20,0,20,50,PlantSeed,0,0,80,20,0,0,0,0,0,416.3,Resident,22.6,8.4,9.5,41.4,163,97.2,28.5,Rock,Omnivore,Terrestrial
Alectoris_graeca,30,0,0,0,0,0,0,0,0,70,PlantSeed,0,0,100,0,0,0,0,0,0,594.1,Resident,20.8,8.3,8.7,40.2,155.7,82.3,36.9,Rock,Herbivore terrestrial,Terrestrial
Alectoris_rufa,10,0,0,0,0,0,10,0,20,60,PlantSeed,0,0,100,0,0,0,0,0,0,527.9,Resident,23.4,7.6,8.7,41.3,155.3,90.5,25.8,Shrubland,Herbivore terrestrial,Terrestrial
