"species","acou.CallDuration","acou.CallMinFrequency","acou.CallPeakFrequency","acou.CallMaxFrequency","acou.InterpulseInterval","acou.CallMidFrequency","acou.CallBandwidth","acou.CallSlope","acou.CallType","diet.FirstMainPreyItem","diet.SecondMainPreyItem","diet.ThirdMainPreyItem","fora.CriticalFeedingAreasForest","fora.CriticalFeedingAreasWoodedRiparianHabitat","fora.CriticalFeedingAreasWetland","fora.CriticalFeedingAreasWaterBodies","fora.CriticalFeedingAreasGrassland","fora.CriticalFeedingAreasHedgerows","fora.CriticalFeedingAreasOrchard","fora.CriticalFeedingAreasShrubland","fora.CriticalFeedingAreasOpenHabitat","fora.CriticalFeedingAreasUrbanParKGarden","life.LitterSize","morp.ForearmLength","morp.ThirdDigitLength","morp.FifthDigitLength","morp.BodyMass","morp.CM3","morp.LCBLCCRatio","morp.AspectRatioIndex","morp.WingLoadingIndex","roos.FirstMainMaternityRoost","roos.FirstMainHibernationRoost","roos.OvergroundRoostDependence.Castle","roos.OvergroundRoostDependence.Church","roos.OvergroundRoostDependence.House","roos.OvergroundRoostDependence.Barn","roos.OvergroundRoostDependence.Bridge","roos.OvergroundRoostDependence.Tree","spat.MaxRecordedMovement"
"Myotis.bechsteinii",3.33,32.83,53.15,90.06,80.27,63.01,34.7,9.64,"FM","Diptera","Lepidoptera","Coleoptera",1,0,0,0,0,0,0,0,0,0,1,42.31,65.63,54.22,9.29,6.8,16.2,2.02,7.35,"tree_roost","tree_roost","1","1","1","1","1","5",73
"Myotis.blythii",4.37,27.65,42.76,78.57,115.37,40.48,33.16,5.8,"FM","Orthoptera","Coleoptera","Lepidoptera",0,0,0,0,1,0,1,1,0,0,1,58.27,96.5,75.88,23.62,8.8,20.45,2.09,10.4,"thermally_stable_underground_roosts","thermally_stable_underground_roosts","2","3","2","2","2","1",488
"Myotis.brandtii",3.48,33.64,48.1,83.38,86.83,53.22,44.5,9.36,"FM","Diptera","Lepidoptera","Arachnida",1,1,0,1,0,1,0,0,0,0,1,35.17,55.14,44.42,6.22,5.35,13.5,2.02,7.48,"tree_roost","thermally_stable_underground_roosts","2","1","3","1","1","3",618
"Myotis.capaccinii",3.96,36.62,48.72,73.45,68.53,50.12,25.56,3.01,"FM","Diptera","Lepidoptera","Arachnida",0,0,0,1,0,0,0,0,0,0,1,41.17,67.35,52.5,8.87,5.5,14.6,2.09,7.52,"thermally_stable_underground_roosts","thermally_stable_underground_roosts","1","1","1","1","2","1",140
"Myotis.daubentonii",3.27,32.53,47.92,73.02,72.89,52.01,29.31,6.55,"FM","Diptera","Trichoptera","Ephemeroptera",0,0,0,1,0,0,0,0,0,0,1,37.17,60.44,47.83,8.11,5.25,13.65,2.12,9.11,"thermally_stable_underground_roosts","thermally_stable_underground_roosts","2","2","2","1","2","5",304
"Myotis.emarginatus",2.94,41.83,59.85,91.52,71.85,60.7,47.31,3.98,"FM","Arachnida","Lepidoptera","Coleoptera",1,1,0,0,0,0,0,0,0,0,1,39.05,65.83,54.34,8.07,6.4,14.65,1.97,6.65,"thermally_stable_underground_roosts","thermally_stable_underground_roosts","3","3","2","2","1","1",105
"Myotis.myotis",5.16,24.68,35.8,62.69,124.78,40.18,24.78,2.55,"FM","Coleoptera","Coleoptera","Lepidoptera",1,0,0,0,0,0,0,0,0,0,1,61.12,100.26,78.25,26.67,9.9,22.4,2.11,9.79,"thermally_stable_underground_roosts","thermally_stable_underground_roosts","3","4","2","1","1","1",436
"Myotis.mystacinus",3.02,35.16,49.56,85.4,87.39,55.65,28.41,10.56,"FM","Lepidoptera","Diptera",NA,1,1,0,0,1,0,0,0,0,0,1,34.01,54.32,43.38,5.38,5,12.75,2.08,7.5,"rock_crevices","thermally_stable_underground_roosts","2","2","3","2","2","3",240
"Myotis.nattereri",3.43,23.52,48.34,82.95,68.83,60.41,57.8,0.83,"FM","Diptera","Arachnida","Arachnida",1,1,0,0,1,0,1,0,0,0,1,39.72,69.5,53.56,7.9,5.95,14.6,2.05,7.38,"tree_roost","thermally_stable_underground_roosts","2","2","2","2","2","3",327
"Barbastella.barbastellus",4.21,28.48,36.47,42.69,88.61,36.48,11.73,0.2,"FM","Lepidoptera","Diptera","Arachnida",1,1,0,0,0,0,0,0,0,0,1,39.07,68.8,52.23,8.87,4.65,13.4,2.12,7.87,"tree_roost","thermally_stable_underground_roosts","2","1","2","1","1","3",290
